Text,User,Likes,Reposts,Views,Status ID,Date,Platform
"Kami ingin memastikan pendidikan di Indonesia berkembang secara global, dengan membuka peluang bagi siswa dan mahasiswa Indonesia untuk berkolaborasi dengan negara-negara lain, ujar Prabowo dalam beberapa pertemuan pendidikan internasional. #PrabowoG20Leadership",@opung_rajata,,,13,1859270242188583110,2024-11-20 16:19:03,twitter
"Selain itu, beliau juga menekankan pentingnya pendidikan vokasi yang lebih relevan dengan kebutuhan industri global, agar tenaga kerja Indonesia siap bersaing di pasar internasional. #PrabowoG20Leadership",@fad_fadil30,,,9,1859259694835212671,2024-11-20 15:37:09,twitter
"Kegagalan pendidikan membiasakan berpikir logis rasional bikin bnyk orang indonesia gemar musingin yg nggak2 n ada2 aja yg sbnrnya nggak ngaruh sama hidup dia. 

Belum sampe berpikir, meletakkan perhatian ke hal penting aja bisa kesulitan. ",@_MasWis,3,1,99,1859285608256172168,2024-11-20 17:20:07,twitter
"Masalahnya di kita (Rakyat), coba aja liat pendidikan rata2 rakyat Indonesia, rata2 sampai SMA, yg gak lulus SD juga banyak banget di Negeri ini. Dan, suara mereka ini sangat menentukan. Udah dah, gk usah jauh2 mikirnya, pikirin yg itu aja dah dulu ",@Pemerintah_IDN,9,2,935,1859255800654708954,2024-11-20 15:21:40,twitter
Beliau menekankan perlunya mengintegrasikan pendidikan dengan teknologi agar para pelajar dan mahasiswa di Indonesia bisa bersaing di tingkat internasional. #PrabowoG20Leadership,@ica_nvianti,,,3,1859259564065173991,2024-11-20 15:36:38,twitter
Keberhasilan kunjungan ini membuka lebih banyak peluang bagi Indonesia untuk memperluas kemitraan di sektor pendidikan dan riset. #PrabowoG20Leadership,@rumaina_helma,,,4,1859264268732158194,2024-11-20 15:55:19,twitter
"Sumber tertera ya Dok.

IMO, jika ada data dari pemerintah, perlu dipertanyakan juga validitasnya jika data diambil dari Dapodik, karena ada guru honorer yang tidak terdaftar di sana.

dan mereka ini yg bener² bisa dibilang ""mengabdi"".",@IrmadliK,1,,22,1859209899869360203,2024-11-20 12:19:17,twitter
"[INFO BEASISWA]

Hai, Sobat Gizi!  
Kabar baik buat kamu yang sedang mencari peluang beasiswa! Jangan sampai ketinggalan, ya!  
Swipe untuk info lengkapnya >>>

Beasiswa Pendidikan Pemimpin Indonesia Batch #3 telah dibuka untuk seluruh siswa SMA & mahasiswa di Indonesia.",@FormaziFKM_UH,,,37,1859207562417295378,2024-11-20 12:09:59,twitter
Saya ngoceh ttg pendidikan musik di Indonesia nih ... Sebetulnya masalahnya sederhana aja ...cuma sering dibikin ribet,@anandasukarlan,1,,143,1859345548802916484,2024-11-20 21:18:18,twitter
Presiden Prabowo tegaskan komitmen Indonesia dalam penanggulangan kelaparan dan kemiskinan di KTT G20 Brasil. #ThePhraseID #PresidenPrabowo #KTTG20 #Brazil #kemiskinan #kelaparan #makangratis #pendidikan #indonesia,@ThePhraseID,1,1,40,1859144657394917434,2024-11-20 08:00:02,twitter
